School Information,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable).",Year,Source_File,Source_Sheet,School Name,School Type,Network,Community Area,Opportunity Index,Fall 2024 Total Enrollment,Fall 2024 K-12 Non-Cluster Enrollment,Fall 2023 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2023 to Fall 2024,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor),Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor),Per-Pupil Total For Title I Funding,Core Classroom,Holistic (ES Only),Title I Interventionists,Supplemental Programmatic Teachers,Critical Language Teachers,Other (Misc Grant-Funded),Teachers Received on Appeal,Teacher Positions Liquidated for Discretionary Dollars (Reference Only),Principal,Asst. Principal,Clerk,Counselor,Restorative Justice Coord.,Athletic Director,Athletic Stipends,School Assistant,Part-Time Operational Position,Other Central FTEs (incl. Awarded on Appeal),Liquidated AP,Liquidated RJC,Liquidated School Assistant,Liquidated Part-Time Operations Bucket,Teachers,Asst. Principal.1,Clerk.1,Counselor.1,Restorative Justice Coord..1,Tech Coord.,Teacher/ Classroom Assistants,Other Non-Teacher Discretionary Staff,Discretionary Non-FTE Funding,Special Ed Teachers,Special Ed Paraprofessionals,Case Managers,Other Special Ed FTEs,Early Childhood Teachers,Early Childhood Paraprofessionals,Other Early Chlidhood FTEs,Early College (ECCE) Positions,College & Career Coaches,STEM Coords & Teachers,IB Coord.,RGC & RGC-EL Coord.,Personalized Learning Coord.,Montessori Program Coord.,Montessori Positions,JROTC Positions,Bilingual & Dual Language Coordinators,STLS Advocates,Instructional Support Buckets,Lead Coaches,Lunchroom,Security,Whole School Safety Funding,School and District Improvement Grant (SDI) Allocation,School Internal Account Funded Teacher Positions,School Internal Account Funded Non-Teacher Positions,Fall 2024 PE/PK Enrollment,Fall 2024 K-12 Enrollment,Fall 2023 Total Enrollment,Change in Total Enrollment from Fall 2023 to Fall 2024,Centrally Allocated General Education Teachers,Fall 2025 Total Enrollment,Fall 2025 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025,Loss Cap Teachers,Critical/World Language Teachers,School Operations Support - Add'l Flexible Funding,Other Central FTEs (incl. Class Size TA's),School Internal Account Funded AP Positions,Fall 2025 PE/PK Enrollment,Fall 2025 K-12 Enrollment,Change in Total Enrollment from Fall 2024 to Fall 2025,Centrally Allocated Teachers,Other Centrally-Allocated Positions
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NATIONAL TEACHERS,Elementary,Network 6,NEAR SOUTH SIDE,19.0,796.0,726.0,715.0,11.0,26:1,449.0,330.25,28.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,408369.28,10.0,16.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NEIL,Elementary,Network 12,CHATHAM,35.0,263.0,167.0,164.0,3.0,24:1,641.0,440.75,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,68357.44,11.0,38.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NETTELHORST,Elementary,Network 4,LAKE VIEW,17.0,650.0,584.0,576.0,8.0,26:1,425.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78153.0,10.0,22.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NEW FIELD,Elementary,Network 2,ROGERS PARK,35.0,541.0,446.0,467.0,-21.0,24:1,641.0,381.25,19.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104561.29,9.0,14.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,5.0,1.0,0.0,43362.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NEW SULLIVAN,Elementary,Network 12,SOUTH CHICAGO,37.0,435.0,338.0,311.0,27.0,24:1,665.0,419.5,15.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.47,95296.1,10.0,23.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,4.0,2.0,0.0,54040.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NEWBERRY,Elementary,Network 4,LINCOLN PARK,26.0,331.0,320.0,311.0,9.0,26:1,533.0,394.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,65095.67,7.0,13.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NICHOLSON,Elementary,Network 11,ENGLEWOOD,41.0,495.0,444.0,405.0,39.0,22:1,713.0,432.25,21.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,345657.06,7.0,23.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18640.0,1.0,5.0,2.0,0.0,87940.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NIGHTINGALE,Elementary,Network 8,GAGE PARK,34.0,918.0,825.0,863.0,-38.0,24:1,629.0,398.25,35.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,283938.34,7.0,13.0,1.5,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NINOS HEROES,Elementary,Network 12,SOUTH CHICAGO,33.0,311.0,279.0,257.0,22.0,24:1,617.0,423.75,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,122523.95,6.0,11.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,2.0,2.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NIXON,Elementary,Network 4,HERMOSA,39.0,674.0,634.0,621.0,13.0,22:1,689.0,415.25,29.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134402.91999999998,8.0,11.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18640.0,1.0,5.0,2.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NOBEL,Elementary,ISP,HUMBOLDT PARK,38.0,594.0,560.0,574.0,-14.0,22:1,677.0,415.25,26.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.15,107347.2,7.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,5.0,1.85,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NORTH RIVER,Elementary,Network 1,ALBANY PARK,39.0,322.0,265.0,249.0,16.0,22:1,689.0,377.0,13.0,3.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,186562.0,7.0,6.0,0.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,0.0,2.0,0.0,100440.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NORTH-GRAND HS,High,Network 15,HUMBOLDT PARK,38.0,1015.0,968.0,1005.0,-37.0,18:1,1563.0,406.75,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,10.0,377026.52,16.0,19.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,6.0,4.0,160000.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NORTHSIDE PREP HS,High,Network 14,NORTH PARK,22.0,1063.0,1048.0,1017.0,31.0,21:1,1275.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,133039.00000000003,12.0,15.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NORTHWEST,Elementary,Network 3,BELMONT CRAGIN,42.0,525.0,520.0,516.0,4.0,22:1,725.0,394.0,24.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.16,231055.22,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,1.0,3.0,2.0,0.0,89322.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NORWOOD PARK,Elementary,Network 1,NORWOOD PARK,20.0,314.0,295.0,305.0,-10.0,26:1,461.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.13,41998.85,5.0,5.0,0.5,0.0,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,2.0,0.87,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OGDEN ES & HS,ES + HS,Network 15,NEAR NORTH SIDE,21.0,1321.0,1279.0,1371.0,-92.0,26:1 | 21:1,845.71,330.25,55.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,463679.58,18.0,18.0,1.5,2.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18640.0,0.0,8.0,9.0,0.0,160440.0,3.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OGLESBY,Elementary,Network 11,AUBURN GRESHAM,41.0,290.0,272.0,262.0,10.0,22:1,713.0,445.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,214264.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,1.0,3.0,2.0,0.0,95440.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OKEEFFE,Elementary,Network 12,SOUTH SHORE,32.0,570.0,515.0,474.0,41.0,24:1,605.0,436.5,22.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,231566.47,9.0,13.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,5.0,2.0,0.0,143455.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ONAHAN,Elementary,Network 1,NORWOOD PARK,18.0,652.0,632.0,627.0,5.0,26:1,437.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78752.96,9.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ORIOLE PARK,Elementary,Network 1,NORWOOD PARK,15.0,615.0,576.0,547.0,29.0,26:1,401.0,0.0,23.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,48250.3,10.0,10.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OROZCO,Elementary,Network 7,LOWER WEST SIDE,37.0,281.0,247.0,233.0,14.0,24:1,665.0,343.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61420.0,5.0,5.0,0.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ORR HS,High,Network 15,HUMBOLDT PARK,46.0,302.0,302.0,260.0,42.0,18:1,1707.0,385.5,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,237875.04,7.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,9.0,4.0,160000.0,87971.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ORTIZ DE DOMINGUEZ,Elementary,Network 7,SOUTH LAWNDALE,45.0,407.0,279.0,276.0,3.0,22:1,761.0,398.25,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119822.5,6.0,18.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,4.0,1.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OTIS,Elementary,Network 6,WEST TOWN,31.0,364.0,254.0,272.0,-18.0,24:1,593.0,423.75,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.05,109452.98,12.0,26.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,3.0,1.95,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OTOOLE,Elementary,Network 11,WEST ENGLEWOOD,40.0,311.0,282.0,275.0,7.0,22:1,701.0,436.5,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,109673.5,4.0,5.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,3.0,2.0,0.0,34630.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OWEN,Elementary,Network 10,ASHBURN,33.0,283.0,263.0,256.0,7.0,24:1,617.0,283.5,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66614.59999999999,5.0,5.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,OWENS,Elementary,Network 13,WEST PULLMAN,41.0,339.0,285.0,278.0,7.0,22:1,713.0,428.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180036.45,7.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,1.0,5.0,3.0,0.0,42880.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PALMER,Elementary,ISP,ALBANY PARK,17.0,746.0,668.0,682.0,-14.0,26:1,425.0,304.75,26.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,222187.51,9.0,16.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PARK MANOR,Elementary,Network 12,GREATER GRAND CROSSING,42.0,313.0,284.0,233.0,51.0,22:1,725.0,406.75,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,122930.35,6.0,12.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,1.0,2.0,0.0,54431.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PARKER,Elementary,Network 11,ENGLEWOOD,36.0,362.0,308.0,301.0,7.0,24:1,653.0,453.5,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119303.85,9.0,16.0,0.5,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18640.0,0.0,7.0,3.0,0.0,122940.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PARKSIDE,Elementary,Network 12,SOUTH SHORE,37.0,283.0,245.0,227.0,18.0,24:1,665.0,445.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,241185.26,6.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,3.0,0.95,0.0,101754.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PASTEUR,Elementary,Network 8,WEST ELSDON,32.0,615.0,530.0,534.0,-4.0,24:1,605.0,389.75,23.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,167857.57,7.0,15.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PAYTON HS,High,Network 15,NEAR NORTH SIDE,12.0,1257.0,1235.0,1238.0,-3.0,21:1,1095.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.55,64268.03,12.0,9.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,2.0,5.0,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PECK,Elementary,ISP,WEST ELSDON,31.0,774.0,583.0,579.0,4.0,24:1,593.0,377.0,25.0,5.0,2.0,0.0,1.0,0.0,0.0,-2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.15,84620.69,5.0,12.0,1.0,0.0,13.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,12.0,1.85,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PEIRCE,Elementary,ISP,EDGEWATER,22.0,1119.0,978.0,958.0,20.0,26:1,485.0,0.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,208606.8,14.0,22.0,1.5,0.0,10.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,PENN,Elementary,Network 7,NORTH LAWNDALE,44.0,217.0,169.0,172.0,-3.0,22:1,749.0,470.5,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,105357.0,6.0,6.0,0.5,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
